[27/Aug/2024 16:28:38] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[27/Aug/2024 16:28:38] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[27/Aug/2024 16:28:41] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[27/Aug/2024 16:28:41] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\abdul razzaq\Desktop\PesProject\venv\Lib\site-packages\rest_framework\templates with glob **/*.
[27/Aug/2024 16:28:41] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\abdul razzaq\Desktop\PesProject\backend\locale with glob **/*.mo.
[27/Aug/2024 16:28:41] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\abdul razzaq\Desktop\PesProject\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
[27/Aug/2024 16:28:41] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\abdul razzaq\Desktop\PesProject\venv\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
[27/Aug/2024 16:28:41] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\abdul razzaq\Desktop\PesProject\venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
[27/Aug/2024 16:28:41] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\abdul razzaq\Desktop\PesProject\backend\pes\locale with glob **/*.mo.
[27/Aug/2024 16:28:42] DEBUG [django.db.backends:151] (0.000) SELECT CAST(SERVERPROPERTY('ProductVersion') AS varchar); args=None; alias=default
[27/Aug/2024 16:28:42] DEBUG [django.db.backends:151] (0.016) SELECT SYSDATETIME(); args=None; alias=default
[27/Aug/2024 16:28:42] DEBUG [django.db.backends:151] (0.016) SELECT
                    TABLE_NAME,
                    TABLE_TYPE,
                    CAST(ep.value AS VARCHAR) AS COMMENT
                FROM INFORMATION_SCHEMA.TABLES i
                LEFT JOIN sys.tables t ON t.name = i.TABLE_NAME
                LEFT JOIN sys.extended_properties ep ON t.object_id = ep.major_id
                AND ((ep.name = 'MS_DESCRIPTION' AND ep.minor_id = 0) OR ep.value IS NULL)
                AND i.TABLE_SCHEMA = SCHEMA_NAME(); args=None; alias=default
[27/Aug/2024 16:28:42] DEBUG [django.db.backends:151] (0.000) SELECT [django_migrations].[id], [django_migrations].[app], [django_migrations].[name], [django_migrations].[applied] FROM [django_migrations]; args=(); alias=default
[27/Aug/2024 16:28:43] DEBUG [django.utils.autoreload:394] File C:\Users\abdul razzaq\AppData\Local\Programs\Python\Python312\Lib\asyncio\log.py first seen with mtime 1696235158.0
[27/Aug/2024 16:28:43] DEBUG [django.utils.autoreload:394] File C:\Users\abdul razzaq\AppData\Local\Programs\Python\Python312\Lib\glob.py first seen with mtime 1696235158.0
[27/Aug/2024 16:28:43] DEBUG [django.utils.autoreload:394] File C:\Users\abdul razzaq\Desktop\PesProject\venv\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1714023011.8293724
[27/Aug/2024 16:28:43] DEBUG [django.utils.autoreload:394] File C:\Users\abdul razzaq\Desktop\PesProject\venv\Lib\site-packages\rest_framework\status.py first seen with mtime 1714023016.96839
[27/Aug/2024 16:28:43] DEBUG [django.utils.autoreload:394] File C:\Users\abdul razzaq\Desktop\PesProject\venv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1714023011.6899967
[27/Aug/2024 16:28:43] DEBUG [django.utils.autoreload:394] File C:\Users\abdul razzaq\Desktop\PesProject\venv\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1714023009.1657953
[27/Aug/2024 16:28:43] DEBUG [django.utils.autoreload:394] File C:\Users\abdul razzaq\Desktop\PesProject\venv\Lib\site-packages\rest_framework\request.py first seen with mtime 1714023016.961697
[27/Aug/2024 16:28:43] DEBUG [django.utils.autoreload:394] File C:\Users\abdul razzaq\AppData\Local\Programs\Python\Python312\Lib\email\generator.py first seen with mtime 1696235158.0
[27/Aug/2024 16:28:43] DEBUG [django.utils.autoreload:394] File C:\Users\abdul razzaq\AppData\Local\Programs\Python\Python312\Lib\re\_constants.py first seen with mtime 1696235158.0
